Date,Unemployment Rate
1/02/1978,6.1881
1/03/1978,5.3346
1/04/1978,5.1547
1/05/1978,5.139
1/06/1978,5.2859
1/07/1978,5.2023
1/08/1978,5.4553
1/09/1978,5.3753
1/10/1978,5.1224
1/11/1978,5.0981
1/12/1978,5.8129
1/01/1979,6.0792
1/02/1979,5.8594
1/03/1979,5.4105
1/04/1979,5.292
1/05/1979,5.1199
1/06/1979,5.0128
1/07/1979,4.9282
1/08/1979,4.7964
1/09/1979,4.8761
1/10/1979,4.7613
1/11/1979,4.4766
1/12/1979,5.3383
1/01/1980,5.8134
1/02/1980,5.515
1/03/1980,5.0712
1/04/1980,4.9982
1/05/1980,5.2398
1/06/1980,5.0143
1/07/1980,4.9055
1/08/1980,5.0004
1/09/1980,4.9977
1/10/1980,4.6445
1/11/1980,4.3693
1/12/1980,5.2558
1/01/1981,5.5103
1/02/1981,5.1599
1/03/1981,4.7547
1/04/1981,4.4198
1/05/1981,4.5443
1/06/1981,4.2867
1/07/1981,4.6147
1/08/1981,4.7073
1/09/1981,4.8736
1/10/1981,4.7104
1/11/1981,4.7371
1/12/1981,5.3822
1/01/1982,5.5644
1/02/1982,5.8199
1/03/1982,5.5081
1/04/1982,5.3044
1/05/1982,5.5781
1/06/1982,5.5892
1/07/1982,5.8836
1/08/1982,6.3237
1/09/1982,6.7507
1/10/1982,7.0735
1/11/1982,7.5679
1/12/1982,9.1883
1/01/1983,9.9099
1/02/1983,10.0468
1/03/1983,9.9248
1/04/1983,9.8584
1/05/1983,9.9785
1/06/1983,9.7606
1/07/1983,9.8344
1/08/1983,9.9162
1/09/1983,9.8709
1/10/1983,9.194
1/11/1983,8.8651
1/12/1983,9.4364
1/01/1984,10.2584
1/02/1984,9.8038
1/03/1984,9.0661
1/04/1984,8.7099
1/05/1984,8.6257
1/06/1984,8.4699
1/07/1984,8.0776
1/08/1984,8.665
1/09/1984,8.4783
1/10/1984,7.9546
1/11/1984,7.7438
1/12/1984,8.3898
1/01/1985,9.1184
1/02/1985,8.7279
1/03/1985,8.695
1/04/1985,8.1282
1/05/1985,8.1271
1/06/1985,8.1949
1/07/1985,7.7222
1/08/1985,7.8275
1/09/1985,7.5617
1/10/1985,6.9516
1/11/1985,6.8869
1/12/1985,7.3817
1/01/1986,8.1416
1/02/1986,8.0753
1/03/1986,7.6963
1/04/1986,7.4115
1/05/1986,7.4013
1/06/1986,7.017
1/07/1986,7.5017
1/08/1986,7.6728
1/09/1986,7.8594
1/10/1986,7.4497
1/11/1986,7.5565
1/12/1986,8.2537
1/01/1987,8.7187
1/02/1987,8.5206
1/03/1987,8.2486
1/04/1987,7.7034
1/05/1987,7.9132
1/06/1987,7.6075
1/07/1987,7.5763
1/08/1987,7.5059
1/09/1987,7.4175
1/10/1987,7.3607
1/11/1987,7.1278
1/12/1987,7.4325
1/01/1988,7.8914
1/02/1988,7.544
1/03/1988,7.2581
1/04/1988,7.3492
1/05/1988,6.9678
1/06/1988,6.678
1/07/1988,6.3508
1/08/1988,6.5213
1/09/1988,6.4988
1/10/1988,6.0191
1/11/1988,5.7132
1/12/1988,6.4269
1/01/1989,6.9694
1/02/1989,6.7456
1/03/1989,6.09
1/04/1989,5.6526
