address,pic,links,name of property,rent,rooms
"3333 S La Cienega Blvd, Los Angeles, CA 90016",https://images1.apartments.com/i2/ttD9hsq0KGhBYEtTmj9-6wvONaMbMZeTl14W5Lffna0/117/vox-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/vox-los-angeles-ca/nn0qytn/,VOX,"$2,568 - 6,030",Studio - 3 Beds
"960 W 7th St, Los Angeles, CA 90017",https://images1.apartments.com/i2/qay79HR9UpW_A5SUeR5pjEMcKYzkYlChSaxMKvCqCxw/117/beaudry-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/beaudry-los-angeles-ca/j7493x4/,Beaudry,"$2,600 - 12,030",Studio - 3 Beds
"696 S New Hampshire Ave, Los Angeles, CA 90005",https://images1.apartments.com/i2/OAWKbhSr1M1OmC03fUu-6k9b02XfCn41JRXSzmcbVyE/117/hallasan-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/hallasan-los-angeles-ca/n7jh9pm/,Hallasan,"$2,170 - 9,505",Studio - 3 Beds
"1818 N Cherokee Ave, Los Angeles, CA 90028",https://images1.apartments.com/i2/0VWgJoQ9V7mWSlaHm89KOLVuGkHFXux1A-fP6LOypAs/117/the-baxter-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/the-baxter-los-angeles-ca/mtsg17j/,The Baxter,"$2,633 - 4,675",Studio - 2 Beds
"2245 S Beverly Glen Blvd, Los Angeles, CA 90064",https://images1.apartments.com/i2/N-ifcqSm9wfrkQFGHxn7lxQi5kIDpF-I0brcXC_VGH0/117/2245-beverly-glen-blvd-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/2245-beverly-glen-blvd-los-angeles-ca/jn8fx34/,2245 Beverly Glen Blvd.,"$2,132 - 3,798",Studio - 3 Beds
"2424 Wilshire Blvd, Los Angeles, CA 90057",https://images1.apartments.com/i2/C5JZ7IhFOzZzN1WjWOXVelevc5hdcuFs_RC16Sah-vY/117/park-wilshire-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/park-wilshire-los-angeles-ca/srzzfj7/,Park Wilshire,"$1,540 - 2,405",Studio - 1 Bed
"160 S Virgil Ave, Los Angeles, CA 90004",https://images1.apartments.com/i2/6uQ4Xg0DNrtZLrSnOhgV1KXn-WX0PcNRqMWB0uTrBgE/117/violet-on-virgil-los-angeles-ca-studio-3-renovated.jpg?p=1,https://www.apartments.com/violet-on-virgil-los-angeles-ca/rfx7km0/,Violet on Virgil,"$1,795 - 3,599",Studio - 2 Beds
"1026 S Broadway, Los Angeles, CA 90015",https://images1.apartments.com/i2/M62hb1L9n82QqfXT6SXT1zz1epby_8gwob-xaBmzgHA/117/broadway-palace-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/broadway-palace-los-angeles-ca/38jgl5g/,Broadway Palace,"$2,085 - 3,956",Studio - 3 Beds
"2435 S Sepulveda Blvd, Los Angeles, CA 90064",https://images1.apartments.com/i2/evxwEHGmSVmFKToespMEZRoK_CuugknBVjiwXqJukE8/117/linea-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/linea-los-angeles-ca/7mg62ty/,Linea,"$2,647 - 8,441",Studio - 3 Beds
"11750 Wilshire Blvd, Los Angeles, CA 90025",https://images1.apartments.com/i2/DsuDseq1Lz1Kg4ZiEpGJLmYX7utc8m8_JP2hFbrvHoY/117/the-landmark-los-angeles-los-angeles-ca-sw-views-from-penthouse-apartment.jpg?p=1,https://www.apartments.com/the-landmark-los-angeles-los-angeles-ca/vq9hb8g/,The Landmark Los Angeles,"$3,480 - 12,750",Studio - 2 Beds
"1200 S Figueroa St, Los Angeles, CA 90015",https://images1.apartments.com/i2/WeTv8oNOxE8jQx_oYI4tqWnrfqYF5kiTwAF-NxCr8cU/117/circa-la-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/circa-la-los-angeles-ca/ss4bxl4/,Circa LA,"$2,711 - 27,799",1-3 Beds
"10000 Santa Monica Blvd, Los Angeles, CA 90067",https://images1.apartments.com/i2/Cy2TYuzXmTzWbiEtFVxt803fuS0TBO90KAGsUDeDZUY/117/ten-thousand-los-angeles-ca-primary-photo.jpg?p=1,https://www.apartments.com/ten-thousand-los-angeles-ca/99nnsr7/,Ten Thousand,"$11,000 - 14,100",1-4 Beds
"1718 N Las Palmas Ave, Los Angeles, CA 90028",https://images1.apartments.com/i2/JvoBii7BN5dOAKGAlyU1-yhD1QksE8QBGNug2tgU3x4/117/archer-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/archer-los-angeles-ca/zrmncdx/,Archer,"$1,942 - 3,400",Studio - 2 Beds
"427 W 5th St, Los Angeles, CA 90013",https://images1.apartments.com/i2/yC0GcQiK4ZV2nY2Pv03pVRUVc3BSh_AT9-f0ffPOR48/117/park-fifth-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/park-fifth-los-angeles-ca/dnd9tsh/,Park Fifth,"$2,693 - 6,827",Studio - 3 Beds
"1027 Wilshire Blvd, Los Angeles, CA 90017",https://images1.apartments.com/i2/3ylphhkcPEAz0Q8Xam8UCZ0tbuOYOkdoANfhLHQYT_c/117/tenten-downtown-10-weeks-free-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/tenten-downtown-10-weeks-free-los-angeles-ca/ry0ntz2/,TENTEN DOWNTOWN: 10 Weeks Free*,"$2,950 - 5,100",Studio - 3 Beds
"801 S Hope St, Los Angeles, CA 90017",https://images1.apartments.com/i2/IgxvkWGpvSrxEs992ch0ncbMvBK8wVMshCLR8TjEpSw/117/josephine-dtla-los-angeles-ca-primary-photo.jpg?p=1,https://www.apartments.com/josephine-dtla-los-angeles-ca/spddm74/,Josephine DTLA,"$2,571 - 6,300",1-3 Beds
"3150 Wilshire Blvd, Los Angeles, CA 90010",https://images1.apartments.com/i2/7b7PttIwXAf3mDHpUvFpFeNmmcN1XycJmLV7u29fFRo/117/the-vermont-los-angeles-ca-building-photo.png?p=1,https://www.apartments.com/the-vermont-los-angeles-ca/vlvglee/,The Vermont,"$2,200 - 4,804",Studio - 2 Beds
"8655 Belford Ave, Los Angeles, CA 90045",https://images1.apartments.com/i2/uYKj6Psy1NZ6BLzibczuU1KcPCVuqtov9ISx3XCSx4E/117/madrid-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/madrid-los-angeles-ca/chd4nmg/,Madrid,"$2,865 - 4,012",1-3 Beds
"1000 W 8th St, Los Angeles, CA 90017",https://images1.apartments.com/i2/ZTVCv_RVYq8Meh3VxDrDByr11pCFfBFUUDzfK5VNr3A/117/thea-at-metropolis-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/thea-at-metropolis-los-angeles-ca/77hmelw/,THEA at Metropolis,"$2,307 - 21,096",Studio - 3 Beds
"6245 Wilshire Blvd, Los Angeles, CA 90048",https://images1.apartments.com/i2/J6XCkRGdiXqogIabsKGZ33IfijAfE-j8AnjdzcR3iGo/117/vision-on-wilshire-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/vision-on-wilshire-los-angeles-ca/4085lyh/,Vision on Wilshire,"$3,073 - 13,099",Studio - 3 Beds
"5901-5921 Center Dr, Los Angeles, CA 90045",https://images1.apartments.com/i2/aLDF_0PSpmp4peKHGAOC-ff88EWQLC7r_ixjGiOTI2w/117/the-q-playa-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/the-q-playa-los-angeles-ca/lgjkb4g/,The Q Playa,"$2,702 - 9,372",1-3 Beds
"732 S Spring St, Los Angeles, CA 90014",https://images1.apartments.com/i2/z2lfrOz9AYTb_jYXuI4pxT9Ihd5RE69XSq8-oOsyuMU/117/sentral-dtla-at-732-s-spring-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/sentral-dtla-at-732-s-spring-los-angeles-ca/414ttvj/,Sentral DTLA at 732 S. Spring,"$2,045 - 10,000",Studio - 3 Beds
"1825 N Las Palmas Ave, Los Angeles, CA 90028",https://images1.apartments.com/i2/qucsDfQRTS9_JGhmDC_CfL9uRoJYEWNe4SYYuRzCJmA/117/zen-hollywood-los-angeles-ca-building-photo.jpg?p=1,https://www.apartments.com/zen-hollywood-los-angeles-ca/wr9hjth/,ZEN Hollywood,"$3,115 - 8,560",1-3 Beds
