Column 0,Column 1,Column 2,Column 3
"Mariposa Gardens | 533 N Mariposa Ave, Los Angeles, CA","$1,995+ 1 bd",https://www.zillow.com/apartments/los-angeles-ca/mariposa-gardens/9Ty3rh/,https://photos.zillowstatic.com/fp/1c746499c9b03113e0ebc3c008c48b04-p_e.jpg
"Belle on Bev | 1800 Beverly Blvd, Los Angeles, CA","$2,315+ Studio",https://www.zillow.com/apartments/los-angeles-ca/belle-on-bev/9MMp5P/,https://photos.zillowstatic.com/fp/28aa327368e5b2b5907bf68bdb8afce2-p_e.jpg
"Copper LA | 2300 Beverly Blvd, Los Angeles, CA","$1,795+ 1 bd","https://www.zillow.com/b/building/34.06753,-118.27338_ll/",https://photos.zillowstatic.com/fp/2dba4e6bb9ce45ced301ccdb904ab66b-p_e.jpg
"Empire at Larchmont, 5801 Camerford Ave PENTHOUSE 1, Los Angeles, CA 90038","$7,750/mo",https://www.zillow.com/apartments/los-angeles-ca/empire-at-larchmont/5cVRRJ/,https://photos.zillowstatic.com/fp/033ba67c0816c664a5b80f58480bfacd-p_e.jpg
"8500 Burton | 8500 Burton Way, Los Angeles, CA","$6,850+ 1 bd",https://www.zillow.com/apartments/los-angeles-ca/8500-burton/5XjPzj/,https://photos.zillowstatic.com/fp/d4120a1dd2477584f79b792f0cb55a3c-p_e.jpg
"222 N Alvarado Street, 222 N Alvarado St, Los Angeles, CA 90026","$2,575+/mo",https://www.zillow.com/homedetails/222-N-Alvarado-St-CC2C2C44F-Los-Angeles-CA-90026/346480636_zpid/,https://photos.zillowstatic.com/fp/7154857c1166ec270fb6fb5a4706b594-p_e.jpg
"5500 NOHO | 5500 N Klump Ave, North Hollywood, CA","$2,200+ Studio",https://www.zillow.com/apartments/north-hollywood-ca/5500-noho/BVJWGF/,https://photos.zillowstatic.com/fp/72d86626e877f2a44b1317bc1452b1e2-p_e.jpg
"Argon Wilshire | 10636 Wilshire Blvd, Los Angeles, CA","$2,850+ Studio",https://www.zillow.com/apartments/los-angeles-ca/argon-wilshire/5XqYyM/,https://photos.zillowstatic.com/fp/9401ac9acebb82c1accd87d3b1d3571f-p_e.jpg
"Cara Co-Living | 1743 Butler Ave, Los Angeles, CA","$1,795+ 1 bd",https://www.zillow.com/apartments/los-angeles-ca/cara-co.dash.living/9MLTyx/,https://photos.zillowstatic.com/fp/aecbeb00181ba4a9aba2ab636760abb2-p_e.jpg
"Park & Vista | 1315 Colton St, Los Angeles, CA","$2,350+ Studio","https://www.zillow.com/b/building/34.06349,-118.25707_ll/",https://photos.zillowstatic.com/fp/9b1710d5de854c671fdd599d325324c4-p_e.jpg
"1361 W. 35th Street, 1361 W 35th Pl, Los Angeles, CA 90007","$1,500+/mo",https://www.zillow.com/homedetails/1361-W-35th-Pl-28B3AAE72-Los-Angeles-CA-90007/345997255_zpid/,https://photos.zillowstatic.com/fp/5f7b929f5ea9878b0f4ef30ad24454b5-p_e.jpg
"1338 W 35th | 1338 W 35th Pl, Los Angeles, CA","$4,900+ 3 bds","https://www.zillow.com/b/building/34.02342,-118.29857_ll/",https://photos.zillowstatic.com/fp/f4d19a91c978da375a8847d673d9ffbc-p_e.jpg
"Bayridge Apartment Homes | 1099 W Capitol Dr, San Pedro, CA","$1,385+ Studio",https://www.zillow.com/apartments/san-pedro-ca/bayridge-apartment-homes/5XjVmb/,https://photos.zillowstatic.com/fp/40ea2ce5d55497fc386c0d73ea1d28c4-p_e.jpg
"5617 La Mirada Apts. | 5617 La Mirada Ave, Los Angeles, CA","$1,450+ Studio",https://www.zillow.com/apartments/los-angeles-ca/5617-la-mirada-apts./9MM7N3/,https://photos.zillowstatic.com/fp/b12bb5c7abd195af2a0be218d398015a-p_e.jpg
"Taft | 1720 Taft Ave, Los Angeles, CA","$1,800+ 1 bd",https://www.zillow.com/apartments/los-angeles-ca/taft/5j3Q5L/,https://photos.zillowstatic.com/fp/c3b8e86731f67702a3b42db1a0802566-p_e.jpg
"LINQ on Thirty-Ninth | 1249 W 39th Pl, Los Angeles, CA","$2,695+ 2 bds",https://www.zillow.com/apartments/los-angeles-ca/linq-on-thirty.dash.ninth/9Tz9qh/,https://photos.zillowstatic.com/fp/f5bf39271b89b9d8cfeb3f4497c4c52d-p_e.jpg
"12314 Moorpark St., 12314 Moorpark St APT 109, Studio City, CA 91604","$2,345/mo",https://www.zillow.com/apartments/studio-city-ca/12314-moorpark-st./5YCRpy/,https://photos.zillowstatic.com/fp/0065b64a5f27badd3bb36e5e3e5f1712-p_e.jpg
"Thrive on 7th - Brand New, 336 W 7th St #307, San Pedro, CA 90731","$2,420/mo",https://www.zillow.com/apartments/san-pedro-ca/thrive-on-7th-.dash.-brand-new/9WGJvZ/,https://photos.zillowstatic.com/fp/e21e9dc903c76ebd89b8b991a58a23e7-p_e.jpg
"Olive Encino | 5501 Newcastle Ave, Encino, CA","$2,495+ 1 bd",https://www.zillow.com/apartments/encino-ca/olive-encino/5XjR3w/,https://photos.zillowstatic.com/fp/c0cbb1df23bb6bdb2f5d8ad858119a60-p_e.jpg
